ms,degC
31645,36.30
-31868,36.30
-29845,36.30
-27821,36.30
-25798,36.30
-23776,36.30
-21753,36.30
-19730,36.30
-17705,36.30
-15683,36.30
-13661,36.30
-11638,36.30
-9614,36.30
-7590,36.30
-5568,36.30
-3546,36.30
-1523,36.30
499,36.30
2522,36.30
4546,36.30
6569,36.30
8592,36.40
10614,36.50
12637,36.70
14660,36.90
16685,36.90
18707,36.90
20729,36.90
22752,36.90
24775,36.90
26800,36.90
28822,36.90
30844,36.90
-32669,36.90
-30646,36.90
-28621,36.90
-26599,36.90
-24576,36.90
-22554,36.90
-20530,36.90
-18506,36.90
-16484,36.90
-14461,36.90
-12439,36.90
-10415,36.90
-8391,36.90
-6369,36.90
-4346,36.90
-2324,36.90
-302,36.90
1723,36.90
3746,36.90
5769,36.90
7791,36.90
9814,36.90
